utc_timestamp,cet_cest_timestamp,GB_GBN_load_actual_entsoe_transparency,GB_GBN_load_forecast_entsoe_transparency,GB_GBN_solar_capacity,GB_GBN_solar_generation_actual,GB_GBN_solar_profile,GB_GBN_wind_capacity,GB_GBN_wind_generation_actual,GB_GBN_wind_profile,GB_GBN_wind_offshore_capacity,GB_GBN_wind_offshore_generation_actual,GB_GBN_wind_offshore_profile,GB_GBN_wind_onshore_capacity,GB_GBN_wind_onshore_generation_actual,GB_GBN_wind_onshore_profile
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,,,,,,,,,,,
2014-12-31T23:30:00Z,2015-01-01T00:30:00+0100,,,2664,,,11554,,,4040,,,7514,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,2669,,,11555,,,4040,,,7516,,
2015-01-01T00:30:00Z,2015-01-01T01:30:00+0100,26758,32057,2669,,,11555,,,4040,,,7516,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,27561,32135,2669,,,11555,,,4040,,,7516,,
2015-01-01T01:30:00Z,2015-01-01T02:30:00+0100,26770,31342,2669,,,11555,781.58,0.0676,4040,117.09,0.029,7516,664.49,0.0884
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,25318,30904,2669,,,11555,785.32,0.068,4040,119.58,0.0296,7516,665.74,0.0886
2015-01-01T02:30:00Z,2015-01-01T03:30:00+0100,23625,30477,2669,,,11555,785.32,0.068,4040,119.58,0.0296,7516,665.74,0.0886
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,23145,29244,2669,,,11555,776.64,0.0672,4040,114.1,0.0282,7516,662.54,0.0882
2015-01-01T03:30:00Z,2015-01-01T04:30:00+0100,22861,27640,2669,,,11555,776.13,0.0672,4040,115.22,0.0285,7516,660.91,0.0879
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,21672,26426,2669,,,11555,776.13,0.0672,4040,115.22,0.0285,7516,660.91,0.0879
2015-01-01T04:30:00Z,2015-01-01T05:30:00+0100,21992,25529,2669,,,11555,769.17,0.0666,4040,111.87,0.0277,7516,657.3,0.0875
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,21733,24662,2669,,,11555,769.17,0.0666,4040,111.87,0.0277,7516,657.3,0.0875
2015-01-01T05:30:00Z,2015-01-01T06:30:00+0100,20634,24628,2669,,,11555,761.99,0.0659,4040,106.88,0.0265,7516,655.11,0.0872
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,20629,24982,2669,,,11555,761.99,0.0659,4040,106.88,0.0265,7516,655.11,0.0872
