Day,Oil Rate SC,Gas Rate SC,Water Rate SC,Well Bottom-hole Pressure
1001.0,5358.809363,2322633.561,0.024614893,58723.37364
1002.0,5493.173048,2299059.241,0.034671371,58074.53002
1003.0,5435.977601,2136767.016,0.035444616,57192.10275
1004.0,5382.87843,2243418.318,0.041131082,58874.27568
1005.0,4916.940842,2173130.665,0.044211413,57718.77714
1006.0,4846.244148,2171467.833,0.047297394,57969.27201
1007.0,5073.263783,2254971.614,0.048230254,57559.73313
1008.0,5222.867673,2249539.799,0.055811794,58380.35979
1009.0,8103.605039,3478442.754,0.172575981,57127.45627
1010.0,8135.322407,3452689.047,0.185460534,54809.9153
1011.0,8262.798755,3597713.359,0.193810278,55213.65176
1012.0,7725.873688,3391586.426,0.200296652,54711.57234
1013.0,7942.119015,3568774.174,0.206136031,55397.51068
1014.0,8077.7413,3395578.118,0.237823047,55308.58121
1015.0,5037.400248,2078340.82,0.091340771,55645.52106
1016.0,4909.69993,2037129.701,0.084017512,57244.00619
1017.0,4934.516108,2107044.348,0.071077172,58257.19202
1018.0,4810.268022,2179087.87,0.07042338,57192.87409
1019.0,4996.623519,2197486.074,0.072537096,57026.78562
1020.0,4867.669751,2179293.624,0.076652839,58258.18909
1021.0,5016.149481,2073375.384,0.069760055,57472.91706
1022.0,8085.856996,3465236.527,0.208011356,55774.96319
1023.0,7910.008292,3506376.275,0.213276234,54627.67872
1024.0,7827.900125,3313306.359,0.226108978,55896.80403
1025.0,7683.866345,3404243.57,0.23743509,54878.43678
1026.0,0.0,0.0,0.0,58126.6113
1027.0,0.0,0.0,0.0,58437.55557
1028.0,0.0,0.0,0.0,61290.34126
1029.0,8269.257548,3621583.809,0.17114468,54923.9564
1030.0,8239.180425,3377136.999,0.195000943,54826.14811
1031.0,7962.412879,3575004.441,0.235482251,54174.79791
1032.0,7863.19971,3521361.312,0.249541037,53611.94677
1033.0,7622.618095,3441422.903,0.241290431,55472.79632
1034.0,7658.310751,3369579.416,0.264606804,55673.52901
1035.0,7981.674495,3386935.408,0.262026085,54040.20317
1036.0,7794.152965,3320345.406,0.256163126,53504.28785
1037.0,7954.264651,3314568.942,0.265519427,55583.26155
1038.0,7852.260617,3496276.805,0.259210057,54469.61126
1039.0,8089.901592,3482552.507,0.270210215,53828.1055
1040.0,0.0,0.0,0.0,57216.25951
1040.6,8286.098659,3581913.931,0.217258256,56791.46897
1041.0,7883.454664,3307502.887,0.264177662,54517.47473
1042.0,8167.725115,3378504.207,0.255690138,54785.78828
1043.0,6238.179869,2715035.249,0.197888078,55795.89902
1044.0,6198.353364,2769628.252,0.194263498,54238.4875
1045.0,6280.470863,2870509.824,0.201453858,55342.88999
1046.0,6397.771681,2729915.76,0.181586764,54335.82985
1047.0,6573.297551,2708572.276,0.185290575,56101.00162
1048.0,6872.925229,2795894.022,0.183222865,55462.87972
1049.0,6783.044018,2828151.532,0.18379108,56031.24299
1050.0,6827.83439,2718227.713,0.195184017,55622.91653
1051.0,6436.078889,2921961.696,0.198310848,54206.56129
1052.0,6413.964639,2747920.424,0.204498165,55534.70851
1053.0,6723.082829,2920390.076,0.207728899,56024.19327
1054.0,6425.768409,2760041.874,0.191673618,54375.03447
1055.0,6400.498726,2911061.582,0.217257706,55233.74423
1056.0,6305.28639,2844470.968,0.21189799,54479.00257
1057.0,6433.972173,2872634.684,0.201642852,55824.8042
1058.0,6589.552245,2747700.938,0.199089596,56253.81537
1059.0,6717.232228,2984690.946,0.21791405,54281.00803
1060.0,6581.807149,2883330.554,0.192421485,54372.38582
1061.0,6947.775105,2887759.754,0.203600713,56158.64184
1062.0,6898.203752,2927293.975,0.205547009,54301.86948
1063.0,6691.50518,2991087.9,0.204796432,55569.57177
1064.0,6817.131352,2811243.097,0.214583181,54070.9038
1065.0,8015.690213,3449652.044,0.27975153,53831.12291
1066.0,7835.008491,3380754.223,0.326753938,55384.81669
1067.0,7968.805007,3404156.7,0.316428177,54194.0602
1068.0,8037.989149,3450669.586,0.327961195,54668.93039
1069.0,7647.521194,3255653.184,0.324889848,54060.97916
1070.0,8132.835508,3340711.062,0.329315901,53020.03692
1071.0,7855.140099,3490914.631,0.334678504,53068.83679
1072.0,7813.248991,3438819.034,0.33004544,54915.79088
1073.0,7867.063934,3466409.485,0.336773579,55174.32894
1074.0,7707.051453,3420822.48,0.301866433,53639.20177
1075.0,7678.566752,3439512.978,0.330421806,55168.85133
1076.0,7704.31219,3260920.896,0.342686489,53987.08406
1077.0,7527.137495,3424814.392,0.326158773,52791.29074
1078.0,8061.765896,3262399.582,0.334706227,54556.04576
