2018 09 02			
'UIV-2026'			
2018 09 02			
'days'			
3			
'Water Rate SC'	'Gas Rate SC'	'Well Bottom-hole Pressure'	
'm3/day'	'm3/day'	'kPa'	
13			
'I11'			
30	0	2608181.075	65986.17784
31	0	2807868.578	65344.31827
32	0	2716171.573	67758.45011
33	0	2867160.603	66800.72526
34	0	2811086.687	64936.54954
35	0	2723596.035	66403.20079
36	0	2821769.924	67320.60582
37	0	2787414.974	66422.89036
38	0	2663865.978	66914.88526
39	0	2773336.145	65996.92245
40	0	2736149.015	66164.28482
41	0	2730042.502	66125.97669
42	0	2707133.547	64938.26757
43	0	2785101.761	65241.72254
44	0	2722614.65	65119.66625
45	0	2807215.601	65558.56357
46	0	2636576.65	67628.50927
47	0	2854392.944	66159.3893
48	0	2784710.098	66913.12769
49	0	2858710.926	66682.40173
50	0	2661108.874	66529.19215
51	0	2737493.824	67688.5243
52	0	2648782.985	66746.31614
53	0	2828419.63	64920.00586
54	0	2841606.238	65748.39906
55	0	2718076.162	67126.73369
56	0	2803354.902	65979.00767
57	0	2853260.644	66063.68824
58	0	2716271.591	67038.6301
59	0	2749357.052	65367.30316
60	0	2640650.246	65648.5557
61	0	2821043.725	66186.51981
62	0	2807020.712	65400.61848
63	0	2871485.633	67132.64826
64	0	2843809.694	66135.95345
65	0	2739739.216	66313.7276
66	0	2827129.614	67522.34897
67	0	2859247.629	65951.76778
68	0	2876445.837	65314.22565
69	0	2810018.055	65041.35857
70	0	2796918.908	66981.10994
71	0	2658584.107	67172.11397
72	0	2735901.692	66723.96003
73	0	2813650.212	65415.24607
74	0	2752404.667	65370.96497
75	0	2720083.805	67822.23639
76	0	2709491.619	66463.94761
77	0	2880850.41	65852.26636
78	0	2641489.429	67380.47129
79	0	2616936.476	67305.96469
80	0	2800276.861	65816.22151
81	0	2654631.683	65509.38763
82	0	2704819.202	68028.70712
83	0	2820896.972	66165.92179
84	0	2768210.608	66458.49252
85	0	2644742.931	65699.47009
86	0	2765078.503	66505.08982
87	0	2834883.499	67783.94529
88	0	2723538.107	65732.47176
89	0	2771631.767	65246.13817
90	0	2739601.445	65707.09323
91	0	2861986.779	66850.15423
92	0	2624138.964	67947.30888
93	0	2757608.812	66859.14866
94	0	2800045.748	65304.57545
95	0	2785970.005	66095.85491
96	0	2631325.535	67089.7266
97	0	2824888.209	65796.72525
98	0	2611514.391	66552.84321
99	0	2760422.618	66659.78211
100	0	2675811.761	67193.43282
101	0	2727679.777	67482.15256
102	0	2686904.716	67124.66583
103	0	2640799.206	67700.91939
104	0	2612014.689	66175.08031
105	0	2766597.439	66889.2902
106	0	2676805.21	67133.79627
107	0	2826883.97	67907.04087
108	0	2753524.577	66419.55942
109	0	2794862.058	65946.0777
110	0	2801538.941	67592.47693
111	0	2597023.838	66084.53158
112	0	2708825.836	67490.00161
113	0	2864552.354	67662.87467
114	0	2669185.934	67655.94968
115	0	2825378.553	65322.30358
116	0	2634023.497	65825.4089
117	0	2675238.174	67067.88728
118	0	2821322.588	65585.77204
119	0	2821938.301	66052.15959
120	0	2803877.983	67063.09117
121	0	2608775.344	66384.19658
122	0	2673882.882	66835.86362
123	0	2798651.994	67319.18233
124	0	2735207.113	67807.15955
125	0	2647614.305	66482.05697
126	0	2789194.679	65695.30523
127	0	2854548.125	67478.2471
128	0	2682309.845	65745.17602
129	0	2825095.694	67967.12599
130	0	2840472.679	66047.74457
131	0	2776535.179	65885.19772
132	0	2684948.323	66758.96806
133	0	2658407.555	66476.2003
134	0	2628347.773	66267.37883
135	0	2773244.536	65690.19463
136	0	2853228.018	68056.582
137	0	2635956.92	66683.62534
138	0	2699392.848	67880.44553
139	0	2808582.296	67455.28285
140	0	2664476.883	65853.15648
141	0	2615485.689	67020.11746
142	0	2701864.136	65554.41854
143	0	2670001.038	65525.86505
144	0	2668057.048	66618.06894
145	0	2799115.829	66242.64763
146	0	2676449.048	66219.61408
147	0	2744538.84	66488.79353
148	0	2625768.729	67582.52996
149	0	2718120.626	67539.42465
150	0	2822937.842	68249.76241
151	0	2737007.975	67662.20388
152	0	2654807.835	65412.90687
153	0	2740570.553	66203.00185
154	0	2616592.806	66269.16632
155	0	2627290.224	68219.15444
156	0	2842150.371	67616.19794
157	0	2669885.366	67572.08321
158	0	2598312.073	65757.58694
159	0	2812943.582	65670.12289
160	0	2708574.943	67929.04927
161	0	2812213.18	68006.81622
162	0	2793977.04	66500.29347
163	0	2833607.725	65930.9905
164	0	2621307.096	66795.5247
165	0	2657164.238	66322.30383
166	0	2816682.026	67135.31415
167	0	2829947.825	65629.2383
168	0	2768244.914	65643.26653
169	0	2838146.396	68043.32965
170	0	2796034.709	67571.80716
171	0	2809661.367	67407.93809
172	0	2657497.586	65728.35862
173	0	2634141.472	67016.16577
174	0	2693275.454	68269.63355
175	0	2720247.184	66167.46406
176	0	2808658.024	68334.89126
177	0	2714863.453	67383.5802
178	0	2605629.437	66848.33255
179	0	2725111.806	67021.74702
180	0	2663549.571	65683.27707
181	0	0	65958.58936
182	0	0	63335.5603
183	0	2646921.963	66319.10583
184	0	2724593.554	66394.43382
185	0	2759194.616	65383.13972
186	0	2710252.709	67912.62454
187	0	2857208.541	66879.13362
188	0	2642161.423	66774.09363
189	0	2651934.007	66336.9302
190	0	2816949.072	65403.38722
191	0	2694167.614	67258.8062
192	0	2683161.842	66149.84954
193	0	2650911.124	68124.571
194	0	2661827.701	67671.86238
195	0	2722562.708	68006.10484
196	0	2607689.861	67146.40349
197	0	2715858.6	68008.47975
198	0	2771720.074	67294.211
199	0	2882202.616	66483.36053
200	0	2791785.548	65549.92397
201	0	2717608.174	66473.63447
202	0	2699371.501	65456.03102
203	0	2839474.164	67626.05027
204	0	2776565.817	67037.63152
205	0	2790940.242	66497.93192
206	0	2739256.821	65757.61841
207	0	2641134.122	65993.42791
208	0	2657777.979	67455.21464
209	0	2661120.62	66535.56551
210	0	2669046.753	66056.69202
211	0	2778702.254	66173.17653
212	0	2784622.713	65969.48187
213	0	2871775.331	67304.36357
214	0	2858447.631	68076.92134
215	0	2627374.22	67652.41546
216	0	2857848.96	66435.17239
217	0	2626124.681	66578.29594
218	0	2854127.629	66763.67505
219	0	2709521.051	66039.73083
220	0	2814276.49	68176.36753
221	0	2646463.133	67973.96093
222	0	2782483.506	65729.79852
223	0	2828492.367	67775.20799
224	0	2840341.962	66626.19447
225	0	2863442.957	66090.89389
226	0	2678879.77	65977.57207
227	0	2675695.136	66624.43301
228	0	2884001.323	67980.64189
229	0	2763340.356	66545.76867
230	0	2778990.549	68312.13641
231	0	2722028.933	67879.63269
232	0	2755000.618	67281.41438
233	0	2852912.005	67747.94272
234	0	2763594.959	66237.19145
235	0	2772259.921	67128.81463
236	0	2606241.287	68076.86068
237	0	2674665.079	65915.45321
238	0	2704187.838	66786.67549
239	0	2623316.075	66561.94479
240	0	2868561.142	66434.58015
241	0	2768291.886	66412.69829
242	0	2835809.435	65765.4052
243	0	2781803.842	68227.84483
244	0	2855031.095	65620.78982
245	0	2840233.884	68200.84525
246	0	2598595.519	68130.95233
247	0	2763259.078	68013.80114
248	0	2872281.449	67893.48622
249	0	2672218.006	66629.10378
250	0	2704300.745	68146.8148
251	0	2711593.577	66719.23969
252	0	2713370.665	68289.33255
253	0	2643125.742	68003.9438
254	0	2598040.474	68203.49344
255	0	2690427.437	65757.65821
256	0	2810859.473	67887.44702
257	0	2611842.996	66447.93999
258	0	2836749.06	65736.34386
259	0	2790212.436	66819.3727
260	0	2654226.827	66313.03061
261	0	2665390.335	68238.22554
262	0	2736646.772	66415.18389
263	0	2727013.644	66706.20046
264	0	2750299.681	65762.41842
265	0	2750633.768	66780.81531
266	0	2811447.941	67836.3728
267	0	2635391.807	66670.69395
268	0	2712990.733	67034.10065
269	0	2675840.538	68209.08626
270	0	2641628.805	65972.72472
271	0	2866455.549	66755.21606
272	0	2625855.293	66165.47885
273	0	2671344.967	67803.86354
274	0	2831803.688	67086.68076
275	0	2764039.754	67418.06478
276	0	2857974.602	67679.0991
277	0	2824748.126	65382.65376
278	0	2849643.769	65611.6285
279	0	2860094.456	66704.84641
280	0	2846775.675	66801.2146
281	0	2732862.264	67211.76146
282	0	2826674.021	65417.92224
283	0	2679102.915	66373.29548
284	0	2676199.908	66975.08875
285	0	2856795.165	67879.76675
286	0	2844162.43	66494.93902
287	0	2628255.267	66347.35459
288	0	2774955.545	67272.91305
289	0	2868785.126	66238.3461
290	0	2883845.569	67822.31525
291	0	2739916.572	66833.29605
292	0	2680747.239	68265.07464
293	0	2801284.743	67397.37134
294	0	2732034.015	67656.40545
295	0	2707208.712	66339.87297
296	0	2843061.723	66469.36315
297	0	2863233.452	65702.9225
298	0	2710674.181	67616.7535
299	0	2609393.538	66072.96445
300	0	2627339.369	68188.92348
301	0	2833666.151	67237.34789
302	0	2794299.014	67714.23883
303	0	0	64143.70013
304	0	0	64268.46218
305	0	2662855.023	66280.5336
306	0	2716236.598	67345.92116
307	0	2619936.674	65720.35967
308	0	2605481.054	66310.03833
309	0	2596531.815	67680.62345
310	0	2640489.189	66864.62807
311	0	2732452.903	65743.94676
312	0	2833196.444	66361.64893
313	0	2724533.926	68005.78597
314	0	2679148.996	65892.43357
315	0	2869130.482	67195.98021
316	0	2868355.976	67008.8302
317	0	2862734.221	65696.52719
318	0	2849221.477	66838.98462
319	0	2711027.881	66172.13953
320	0	2597571.442	66566.93489
321	0	2670182.398	66586.99377
322	0	2613616.905	66469.24464
323	0	2640007.759	66784.56253
324	0	2690010.075	68149.81861
325	0	2622422.288	66879.61245
326	0	2753401.786	67028.61624
327	0	2769931.173	67611.55995
328	0	2783390.365	67525.82983
329	0	2859458.609	67804.87158
330	0	2662351.115	68173.05137
331	0	2739650.781	67062.37991
332	0	2861692.643	67000.21203
333	0	2836022.764	65429.57883
334	0	2729322.719	65374.24709
335	0	2673153.268	67056.61775
336	0	2861146.468	67706.7821
337	0	2828086.948	66752.86
338	0	2881537.871	67102.07552
339	0	2685354.026	67716.73002
340	0	2603180.621	68148.04809
341	0	2728494.721	66346.24585
342	0	2630451.213	67623.99063
343	0	2780406.112	67960.90964
344	0	2856368.537	65745.95081
345	0	2644737.161	67224.02458
346	0	2629403.539	67620.93773
347	0	2827109.074	67650.41834
348	0	2707741.464	65565.25105
349	0	2749694.504	65400.16448
350	0	2707327.82	67619.7951
351	0	2728511.057	65466.06091
352	0	2693155.572	66340.21357
353	0	2862595.817	67026.13289
354	0	2729320.224	67258.68784
355	0	2758825.345	65922.33361
356	0	2813833.395	66435.09107
357	0	2670220.78	66439.38329
358	0	2689899.866	66407.19782
359	0	2743245.015	66019.63398
360	0	2870864.187	65788.2757
361	0	2777359.886	65855.60328
362	0	2624317.315	65644.83034
363	0	2648174.926	67494.05194
364	0	2604259.509	67999.95986
365	0	2595990.374	67993.61653
366	0	2779514.656	68040.20517
367	0	2681075.428	67412.62883
368	0	2726714.393	67492.30697
369	0	2757064.34	66140.9492
370	0	2612246.82	67896.95942
371	0	2872859.93	67150.96756
372	0	2609070.885	67329.05085
373	0	2865751.626	66521.6277
374	0	2803301.173	66877.88545
375	0	2836536.283	67299.58012
376	0	2625872.704	68236.84763
377	0	2860376.304	66859.40111
378	0	2801972.395	67663.53789
379	0	2828143.523	67823.31604
380	0	2882447.665	65537.67759
381	0	2831618.167	67428.70822
382	0	2701747.208	67801.35009
383	0	2767777.512	67647.93957
384	0	2872594.61	65552.68993
385	0	2644072.923	68079.04833
386	0	2826242.593	66045.58911
387	0	2653081.138	68206.68231
388	0	2724609.876	66457.42114
389	0	2846502.245	65380.12084
390	0	2619854.228	65372.52321
