WELL	DAY	QWIO	PWFO
Inj-1	1611.910034	4451.3	38024
Inj-1	1611.920044	4339.7	37919
Inj-1	1611.930054	4408.1	37092
Inj-1	1611.949951	4437.4	39376
Inj-1	1611.98999	4535.6	38121
Inj-1	1612	4452.2	37952
Inj-1	1612.02002	4308	37311
Inj-1	1612.060059	4326.6	39524
Inj-1	1612.160034	4488.4	37152
Inj-1	1612.170044	4499.2	38425
Inj-1	1612.209961	4544.2	37762
Inj-1	1612.300049	4331.9	36907
Inj-1	1612.329956	4541	38518
Inj-1	1612.349976	4608	37662
Inj-1	1612.380005	4609.3	36964
Inj-1	1612.410034	4513.5	39255
Inj-1	1612.449951	4281.6	38810
Inj-1	1612.540039	4397	39150
Inj-1	1612.75	4345.8	37751
Inj-1	1612.790039	4361	39135
Inj-1	1612.869995	4475.6	38481
Inj-1	1613.089966	4430.8	37783
Inj-1	1613.640015	4294.1	37813
Inj-1	1613.689941	4511	39264
Inj-1	1613.810059	4325.2	38392
Inj-1	1614.130005	4498.4	37910
Inj-1	1614.189941	4370.4	39084
Inj-1	1614.339966	4441.6	39454
Inj-1	1614.709961	4350.4	37193
Inj-1	1614.780029	4382	39073
Inj-1	1614.939941	4580.1	38864
Inj-1	1615.339966	4304.5	37346
Inj-1	1615.439941	4304	37564
Inj-1	1615.550049	4631	37445
Inj-1	1615.670044	4287.1	39396
Inj-1	1615.780029	4593.2	37886
Inj-1	1615.890015	4357.2	37965
Inj-1	1616.170044	4540.5	39020
Inj-1	1616.310059	4570.5	40137
Inj-1	1616.650024	4467.6	37845
Inj-1	1616.73999	4457.8	40307
Inj-1	1616.839966	4502.9	38116
Inj-1	1616.939941	4434.9	37806
Inj-1	1617.060059	4413.9	38945
Inj-1	1617.189941	4513.3	40321
Inj-1	1617.51001	4468	37366
Inj-1	1617.589966	4387.4	38130
Inj-1	1617.670044	4309.6	39210
Inj-1	1617.77002	4604.8	40153
Inj-1	1617.880005	4546.2	37805
Inj-1	1617.98999	4433.7	37469
Inj-1	1618.26001	4435.6	39375
Inj-1	1618.410034	4488.5	37333
Inj-1	1618.810059	4401.6	39079
Inj-1	1618.900024	4525.1	38526
Inj-1	1619.01001	4301.1	37641
Inj-1	1619.130005	4326.2	37468
Inj-1	1619.26001	4534.4	38415
Inj-1	1619.410034	4392.8	38416
Inj-1	1619.77002	4317.8	37690
Inj-1	1619.859985	4373.7	38250
Inj-1	1619.959961	4503.8	38598
Inj-1	1620.069946	4613.5	39885
Inj-1	1620.189941	4387	38841
Inj-1	1620.329956	4556.5	40334
Inj-1	1620.660034	4520.4	37993
Inj-1	1620.73999	4308.6	40115
Inj-1	1620.839966	4547.4	38625
Inj-1	1620.939941	4601.6	39037
Inj-1	1621.050049	4296.7	39851
Inj-1	1621.170044	4436.9	38852
Inj-1	1621.47998	4378.5	37358
Inj-1	1621.560059	4463.8	39786
Inj-1	1621.650024	4515.5	37444
Inj-1	1621.73999	4540.5	39580
Inj-1	1621.839966	4610.1	37895
Inj-1	1621.959961	4633.3	37478
Inj-1	1622.23999	4517.6	39536
Inj-1	1622.959961	4635	39621
Inj-1	1623.209961	4494.5	38491
Inj-1	1623.859985	4391.6	40446
Inj-1	1624.02002	4341.5	37326
Inj-1	1624.199951	4474.2	39964
Inj-1	1624.390015	4441.6	40034
