WELL	DAY	QLOB	QWOB	QOOB	QGOB	PWFO
Wildcat	1	2243.6	0	2243.6	507759	41286
Wildcat	1.88906002	2250.6	0	2248.7	485626	40737
Wildcat	4.111720085	2235.9	0	2230.1	513172	42739
Wildcat	9.668359756	2075.8	0	2085.2	494083	42295
Wildcat	23.55999947	2262.4	0	2121.8	504916	39914
Wildcat	31	2095.8	0	2095.8	489097	40600
Wildcat	49.60010147	2187.9	0	2233.4	478861	41516
Wildcat	61	2181.3	0	2181.3	509064	41188
Wildcat	89.49980164	2102.9	0	2213.6	515390	41074
Wildcat	92	2108.9	0	2108.9	510350	40600
Wildcat	98.25060272	2220.5	0	2141.1	505040	41278
Wildcat	113.8769989	2171.4	0	2155.4	500103	39625
Wildcat	123	2135.6	0	2135.6	475411	40207
Wildcat	145.8070068	2266.9	0	2253.6	488607	40350
Wildcat	151	2174.8	0	2174.8	527698	40305
Wildcat	163.9819946	2134.7	0	2259.2	502489	41694
Wildcat	182	2212.4	0	2212.4	484896	40501
Wildcat	212	2117.8	0	2117.8	524272	40501
Wildcat	243	2157.9	0	2157.9	505518	40403
Wildcat	272	2133.7	0	2204.6	498569	39081
Wildcat	272.8999939	2170.6	0	2158	510376	39300
Wildcat	273	0	0	0	0	41972
Wildcat	273.25	0	0	0	0	41300
Wildcat	273.8999939	0	0	0	0	41955
Wildcat	274	2174.1	0	2163.3	519983	39216
Wildcat	274.25	2126.6	0	2266	512518	42058
Wildcat	274.875	2165.5	0	2144.3	480214	39233
Wildcat	276.4379883	2090.2	0	2163.9	476811	41880
Wildcat	280.3439941	2150.1	0	2213.1	510309	41666
Wildcat	290.1090088	2143.2	0	2140.7	489619	41415
Wildcat	304	2203.7	0	2203.7	494424	40600
Wildcat	335	2156.7	0	2156.7	519393	39913
Wildcat	364.8999939	2078.2	0	2184.4	485057	40543
Wildcat	365	2122.2	0	2122.2	477032	39815
Wildcat	365.25	2169.4	0	2200.4	522338	40186
Wildcat	365.875	2067.9	0	2215.2	523285	40152
Wildcat	367.4379883	2140.3	0	2153.1	489832	40814
Wildcat	371.3439941	2112.3	0	2136.7	496873	40013
Wildcat	381.1090088	2255.3	0	2220.6	492389	38825
Wildcat	396	2163.1	0	2163.1	509670	40207
Wildcat	425	2177.7	0	2152.7	516987	38961
Wildcat	425.8999939	2222.8	0	2151.8	500716	39843
Wildcat	426	0	0	0	0	41090
Wildcat	426.25	0	0	0	0	41399
Wildcat	426.8999939	0	0	0	0	42150
Wildcat	427	2069.6	0	2240.3	496985	41024
Wildcat	427.25	2241.8	0	2226.1	487799	40074
Wildcat	427.875	2269.2	0	2257.2	508361	40399
Wildcat	429.4379883	2241.9	0	2208.8	501473	40362
Wildcat	433.3439941	2071.6	0	2066.9	477066	40918
Wildcat	443.1090088	2135.1	0	2218.5	512495	40716
Wildcat	457	2232.8	0	2232.8	481463	39619
Wildcat	488	2136.3	0	2136.3	520308	39521
Wildcat	515.9000244	2266.8	0	2182.7	508685	38436
Wildcat	516	2236.8	0	2236.8	508420	39717
Wildcat	516.25	2105.9	0	2199.3	477066	39482
Wildcat	516.9000244	2225.3	0	2067.1	495894	40725
Wildcat	517	0	0	0	0	41384
Wildcat	517.25	0	0	0	0	41503
Wildcat	517.875	0	0	0	0	39793
Wildcat	519.4379883	0	0	0	0	40338
Wildcat	523.3439941	0	0	0	0	41899
Wildcat	533.1090088	0	0	0	0	42859
Wildcat	547	0	0	0	0	41580
Wildcat	577	0	0	0	0	42169
Wildcat	608	0	0	0	0	41188
Wildcat	638	0	0	0	0	41384
Wildcat	669	0	0	0	0	41188
Wildcat	700	0	0	0	0	41678
Wildcat	729.9000244	0	0	0	0	42078
Wildcat	730	0	0	0	0	42169
Wildcat	730.25	0	0	0	0	41328
Wildcat	730.875	0	0	0	0	39961
Wildcat	732.4379883	0	0	0	0	42261
Wildcat	736.3439941	0	0	0	0	42809
Wildcat	746.1090088	0	0	0	0	42145
Wildcat	761	0	0	0	0	41090
Wildcat	791	0	0	0	0	41678
Wildcat	821.9000244	0	0	0	0	42493
Wildcat	822	0	0	0	0	41776
Wildcat	822.25	0	0	0	0	41311
Wildcat	822.875	0	0	0	0	41520
Wildcat	824.4379883	0	0	0	0	40845
