DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
07/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,0,0,0,0,0,%,0,0,0,0,0,0,,production,WI
08/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,,,,0,"1,00305916666667",%,0,0,0,0,0,0,,production,OP
09/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,,,,0,"0,979007708333333",%,0,0,0,0,0,0,,production,OP
10/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,,,,0,"0,545759166666667",%,0,0,0,0,0,0,,production,OP
11/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,"310,37614","96,87589","277,27826",0,"1,215986875",%,"33,09788","10,47992","33,07195",0,0,0,,production,OP
12/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,"303,50078","96,92339","281,44744",0,"3,08701541666667",%,"22,05334","8,70429","22,05334",0,0,0,,production,OP
13/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,"303,53481","96,95885","276,032",0,"1,96236520833333",%,"27,50281","9,42315","16,16326",0,0,0,,production,OP
14/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,"303,78228","96,96873","282,78676",0,0,%,"20,99552","8,13137","20,73712",0,0,0,,production,OP
15/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,"303,85821","97,02136","289,94067",0,"31,141855625",%,"13,91754","8,49833","12,18153",0,0,0,,production,OP
16/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,"303,79187","97,06569","299,67193",0,0,%,"4,11994","8,82124","1,4902",0,0,0,,production,OP
17/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,"304,33518","96,91946","282,901",0,"41,2359939583333",%,"21,43418","8,85429","18,79484",0,0,0,,production,OP
18/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,"304,84859","96,72034","273,70073",0,0,%,"31,14786","9,63954","28,50258",0,0,0,,production,OP
19/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,"305,37149","96,61563","259,61993",0,"0,436861666666667",%,"45,75156","9,63919","43,1571",0,0,0,,production,OP
20/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0,"313,87058","96,55953","282,81436",0,"0,454284791666667",%,"31,05622","9,61976","28,48402",0,0,0,,production,OP
21/04/2014,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,"11,5","301,375641304348","102,676379130435","204,795183478261",0,"20,9897483333333",%,"96,580457826087","19,1968191304348","69,7755695652174",0,0,0,,production,OP
