DATEPRD	WELL_BORE_CODE	NPD_WELL_BORE_CODE	NPD_WELL_BORE_NAME	NPD_FIELD_CODE	NPD_FIELD_NAME	NPD_FACILITY_CODE	NPD_FACILITY_NAME	ON_STREAM_HRS	AVG_DOWNHOLE_PRESSURE	AVG_DOWNHOLE_TEMPERATURE	AVG_DP_TUBING	AVG_ANNULUS_PRESS	AVG_CHOKE_SIZE_P	AVG_CHOKE_UOM	AVG_WHP_P	AVG_WHT_P	DP_CHOKE_SIZE	BORE_OIL_VOL	BORE_GAS_VOL	BORE_WAT_VOL	BORE_WI_VOL	FLOW_KIND	WELL_TYPE
7/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0	0	0	0	0	0	%	0	0	0	0	0	0		production	WI
8/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0				0	1.003059167	%	0	0	0	0	0	0		production	OP
9/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0				0	0.979007708	%	0	0	0	0	0	0		production	OP
10/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0				0	0.545759167	%	0	0	0	0	0	0		production	OP
11/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0	310.37614	96.87589	277.27826	0	1.215986875	%	33.09788	10.47992	33.07195	0	0	0		production	OP
12/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0	303.50078	96.92339	281.44744	0	3.087015417	%	22.05334	8.70429	22.05334	0	0	0		production	OP
13/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0	303.53481	96.95885	276.032	0	1.962365208	%	27.50281	9.42315	16.16326	0	0	0		production	OP
14/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0	303.78228	96.96873	282.78676	0	0	%	20.99552	8.13137	20.73712	0	0	0		production	OP
15/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0	303.85821	97.02136	289.94067	0	31.14185563	%	13.91754	8.49833	12.18153	0	0	0		production	OP
16/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0	303.79187	97.06569	299.67193	0	0	%	4.11994	8.82124	1.4902	0	0	0		production	OP
17/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0	304.33518	96.91946	282.901	0	41.23599396	%	21.43418	8.85429	18.79484	0	0	0		production	OP
18/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0	304.84859	96.72034	273.70073	0	0	%	31.14786	9.63954	28.50258	0	0	0		production	OP
19/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0	305.37149	96.61563	259.61993	0	0.436861667	%	45.75156	9.63919	43.1571	0	0	0		production	OP
20/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	0	313.87058	96.55953	282.81436	0	0.454284792	%	31.05622	9.61976	28.48402	0	0	0		production	OP
21/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	11.5	301.3756413	102.6763791	204.7951835	0	20.98974833	%	96.58045783	19.19681913	69.77556957	0	0	0		production	OP
22/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	289.4213617	106.353209	182.0593119	0	43.34345125	%	107.3620498	37.93925125	78.93540896	631.47	90439.09	0		production	OP
23/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	270.2397929	107.643779	171.0527821		47.16752313	%	99.18701083	60.75657938	70.62710938	1166.46	165720.39	0		production	OP
24/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	262.8427475	107.8692342	168.2419773		47.73231021	%	94.60077021	63.04679979	66.04915063	1549.81	221707.31	0		production	OP
25/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	255.5269952	107.9711371	165.5389031		48.53376875	%	89.98809208	64.54722917	61.40538625	1248.7	178063.52	0		production	OP
26/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	247.1990521	108.0520302	162.4222417		49.84450229	%	84.77681042	65.72369375	56.14790646	1345.78	192602.19	0		production	OP
27/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	240.7364169	108.053804	159.8990198		50.29698188	%	80.83739708	66.93373229	52.20174708	1349.56	194496.27	0		production	OP
28/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	235.0209315	108.0416365	157.68322		50.73587854	%	77.33771146	67.84834792	48.70758354	1345.61	192899.71	0		production	OP
29/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	232.7437104	107.9878069	156.7948931		50.11391979	%	75.94881729	65.70691917	47.37571458	1279.46	184900.31	0		production	OP
30/4/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	233.2977779	107.893239	157.179385		48.92679021	%	76.11839292	62.79564396	47.61060354	1225.62	177107.86	0		production	OP
1/5/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	231.0888975	107.8769223	156.3989777		48.93862896	%	74.68991979	62.37683438	46.19584333	1212.9	174608.88	0		production	OP
2/5/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	231.4190052	107.8168792	156.6902379		48.30370458	%	74.72876729	60.74731563	46.15029979	1074.04	154870.67	0		production	OP
3/5/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	230.7655452	107.7954671	156.6059667		48.17349875	%	74.15957854	60.62793438	45.73272292	1044.17	147929.93	0		production	OP
4/5/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	230.5958319	107.7643154	156.6876044		47.46608792	%	73.9082275	58.27902167	45.491345	970.2	139378.45	0		production	OP
5/5/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	229.4236769	107.7797317	156.4292629		47.84001958	%	72.99441396	54.9047225	44.54851	946.12	136980.49	0		production	OP
6/5/14	NO 15/9-F-1 C	7405	15/9-F-1 C	3420717	VOLVE	369304	M®RSK INSPIRER	24	225.9024775	107.8602202	154.9508602		49.00558229	%	70.95161729	58.88281146	42.44995396	1002.83	144950.15	0		production	OP
