R²,SMAPE,MAE,Well,Method,Category,Setting
0.49280450822670996,35.00606560585403,3052000.816025171,wind,N-Beats,Cumulative,Medium (Balanced)
-92.79313313381778,134.28094506881277,11348164.309627071,solar,N-Beats,Cumulative,Medium (Balanced)
0.9339806207191306,10.300318833019647,9339824.570576282,load,N-Beats,Cumulative,Medium (Balanced)
0.7220927852043738,9.747238873960214,2237534.1074870876,15/9-F-14,N-Beats,Cumulative,Medium (Balanced)
0.34153176914771843,13.58425285884838,3742774.3782943417,15/9-F-12,N-Beats,Cumulative,Medium (Balanced)
0.9781226105742244,3.5466387290919865,179321.43117525068,15/9-F-11,N-Beats,Cumulative,Medium (Balanced)
0.8791630504907982,4.892771510134556,37445.622442155756,15/9-F-15 D,N-Beats,Cumulative,Medium (Balanced)
0.9996458348795981,0.568886645987817,22606.674756822726,Prod-1,N-Beats,Cumulative,Medium (Balanced)
0.9916899969837638,2.2685239494314207,102715.82799972671,Prod-2,N-Beats,Cumulative,Medium (Balanced)
0.9312841379618553,9.815206585710467,378808.64226240345,Prod-3,N-Beats,Cumulative,Medium (Balanced)
0.9624591242747,7.399170882961721,393129.28916619177,Prod-4,N-Beats,Cumulative,Medium (Balanced)
0.8915702464208961,13.311195872298311,740073.6182817555,Prod-5,N-Beats,Cumulative,Medium (Balanced)
0.9977884838126722,1.8066305130364309,81259.4873359044,Prod-6,N-Beats,Cumulative,Medium (Balanced)
0.9929767519911287,2.5665386888532895,133073.9965724861,Prod-7,N-Beats,Cumulative,Medium (Balanced)
0.9483323591964232,8.97000895070136,385083.5219819399,Prod-8,N-Beats,Cumulative,Medium (Balanced)
0.9584404951312203,7.944575708714388,386450.7445773656,Prod-9,N-Beats,Cumulative,Medium (Balanced)
0.9660269090094513,7.220987292821003,437917.0433095914,Prod-10,N-Beats,Cumulative,Medium (Balanced)
