R²,SMAPE,MAE,Well,Method,Category,Setting
0.7812793738684785,21.33357571208304,1995077.6918155611,wind,NHiTS,Cumulative,Wide & Shallow
-267.8073717997702,154.7269999655607,19228842.097925913,solar,NHiTS,Cumulative,Wide & Shallow
0.9850313409925398,4.916851291240856,4492177.0062670205,load,NHiTS,Cumulative,Wide & Shallow
0.6100452104317998,11.587836107248416,2671428.5766451824,15/9-F-14,NHiTS,Cumulative,Wide & Shallow
0.22833357684536004,14.663898093079714,4059937.1080987933,15/9-F-12,NHiTS,Cumulative,Wide & Shallow
0.9616568057960128,4.719536742566619,243145.62730945292,15/9-F-11,NHiTS,Cumulative,Wide & Shallow
0.794160359549431,6.1648058701628985,47398.830452768096,15/9-F-15 D,NHiTS,Cumulative,Wide & Shallow
0.9619697927868076,6.177228905210179,243522.96455181192,Prod-1,NHiTS,Cumulative,Wide & Shallow
0.9987341123357337,0.9673920782882037,39977.41541625241,Prod-2,NHiTS,Cumulative,Wide & Shallow
0.9791682660527473,5.024382495184165,209288.34271078312,Prod-3,NHiTS,Cumulative,Wide & Shallow
0.9762925379914545,5.856984930833243,312988.6674120546,Prod-4,NHiTS,Cumulative,Wide & Shallow
0.9847973435122185,4.698534354609171,275458.20968390873,Prod-5,NHiTS,Cumulative,Wide & Shallow
0.9693892845605291,6.068970052901027,293511.5754157175,Prod-6,NHiTS,Cumulative,Wide & Shallow
0.9993496941215025,1.097757616717843,45550.08871619364,Prod-7,NHiTS,Cumulative,Wide & Shallow
0.9814504047159821,5.2786988474949625,231052.2922186326,Prod-8,NHiTS,Cumulative,Wide & Shallow
0.9937533766298181,2.997792118923819,150208.15540067837,Prod-9,NHiTS,Cumulative,Wide & Shallow
0.9999591756737047,0.11104473220098947,8627.796583073701,Prod-10,NHiTS,Cumulative,Wide & Shallow
