R²,SMAPE,MAE,Well,Method,Category,Setting
0.4978621219910343,35.83966783245784,3065722.71649019,wind,NLinear,Cumulative,Large & Robust
-5.4108609599970325,71.72445840551538,2982147.163098165,solar,NLinear,Cumulative,Large & Robust
0.9478545396053112,9.094851778425616,8292284.353828074,load,NLinear,Cumulative,Large & Robust
0.9948729685661545,1.3873131122030466,284635.6433670341,15/9-F-14,NLinear,Cumulative,Large & Robust
0.012168626546904537,16.576344178106574,4615863.397066947,15/9-F-12,NLinear,Cumulative,Large & Robust
0.9253574788925786,5.800363041965141,329914.9238196618,15/9-F-11,NLinear,Cumulative,Large & Robust
0.7619206091214764,6.592295763407377,50647.0573761008,15/9-F-15 D,NLinear,Cumulative,Large & Robust
0.9990855910277058,1.033098952788431,38119.76755110323,Prod-1,NLinear,Cumulative,Large & Robust
0.9982236387004789,0.9471661794961678,43027.65364718869,Prod-2,NLinear,Cumulative,Large & Robust
0.9999429867841744,0.23926800469547213,10150.371242671074,Prod-3,NLinear,Cumulative,Large & Robust
0.9892757719083519,3.965057764188705,212034.93278420766,Prod-4,NLinear,Cumulative,Large & Robust
0.9622828635357631,7.575055316686822,435307.3166596242,Prod-5,NLinear,Cumulative,Large & Robust
0.9977268381812143,1.8246297492522858,82251.47167060645,Prod-6,NLinear,Cumulative,Large & Robust
0.9975098397535639,1.9672280320043187,87272.9474079993,Prod-7,NLinear,Cumulative,Large & Robust
0.9723491915683352,6.475438825191364,281821.7584940808,Prod-8,NLinear,Cumulative,Large & Robust
0.9747225984141628,6.135400269372482,301523.9913430232,Prod-9,NLinear,Cumulative,Large & Robust
0.9916329939985256,3.529242837032705,217926.59468040089,Prod-10,NLinear,Cumulative,Large & Robust
