R²,SMAPE,MAE,Well,Method,Category,Setting
0.49175959575344663,36.08605094848365,3084017.9576043445,wind,NLinear,Cumulative,Small & Fast
-1.0243599240093877,48.56046209533672,1681265.6289080712,solar,NLinear,Cumulative,Small & Fast
0.9486005114928504,9.031184608895238,8234071.534151876,load,NLinear,Cumulative,Small & Fast
0.9928061286855681,1.5973883739989698,337732.443382434,15/9-F-14,NLinear,Cumulative,Small & Fast
0.02805586003441196,16.45800916816124,4579014.0071131,15/9-F-12,NLinear,Cumulative,Small & Fast
0.9132645906480858,6.178412245860034,354658.26137670514,15/9-F-11,NLinear,Cumulative,Small & Fast
0.7996705869634613,6.090222191113655,46830.1217326801,15/9-F-15 D,NLinear,Cumulative,Small & Fast
0.9991113072546143,1.0188271372965092,37576.72948647996,Prod-1,NLinear,Cumulative,Small & Fast
0.9981803450784682,0.9464205091437989,43282.48505835703,Prod-2,NLinear,Cumulative,Small & Fast
0.999996908129409,0.06694283825261445,2158.038534670862,Prod-3,NLinear,Cumulative,Small & Fast
0.9898448641236894,3.8600210705831235,206419.5927765626,Prod-4,NLinear,Cumulative,Small & Fast
0.9688206749167577,6.851121512241762,395542.73780890385,Prod-5,NLinear,Cumulative,Small & Fast
0.9982491943169066,1.6074824164014507,72329.25233305106,Prod-6,NLinear,Cumulative,Small & Fast
0.9979546588634512,1.8000010069811179,79363.70032439931,Prod-7,NLinear,Cumulative,Small & Fast
0.9754757724037978,6.086273811635562,265442.85663462867,Prod-8,NLinear,Cumulative,Small & Fast
0.9784403298295518,5.650896658939064,278510.5477572394,Prod-9,NLinear,Cumulative,Small & Fast
0.9925857695892311,3.3198428203311705,205198.76989024706,Prod-10,NLinear,Cumulative,Small & Fast
