R²,SMAPE,MAE,Well,Method,Category,Setting
0.7875283846533337,21.04371917975671,1968920.019729602,wind,TiDE,Cumulative,Medium (Balanced)
-145.86680779894124,143.64941424709434,14216244.559611777,solar,TiDE,Cumulative,Medium (Balanced)
0.9173189304693758,11.582857633817978,10445545.230650408,load,TiDE,Cumulative,Medium (Balanced)
0.8541115791498181,7.110296527921934,1613316.2337647513,15/9-F-14,TiDE,Cumulative,Medium (Balanced)
-0.37044639372844945,19.237655795760798,5442494.680712562,15/9-F-12,TiDE,Cumulative,Medium (Balanced)
0.9794433887392139,3.5979349041390116,178154.6493703567,15/9-F-11,TiDE,Cumulative,Medium (Balanced)
0.7734176329262017,6.443906278061648,49492.96007131549,15/9-F-15 D,TiDE,Cumulative,Medium (Balanced)
0.998869768402852,1.1421920785649633,42363.95010261612,Prod-1,TiDE,Cumulative,Medium (Balanced)
0.9987833206917959,0.9408219376628554,38979.60794582525,Prod-2,TiDE,Cumulative,Medium (Balanced)
0.9989949261692902,1.1472999273706053,46371.622535731425,Prod-3,TiDE,Cumulative,Medium (Balanced)
0.9737001147290392,6.180223977206604,329680.2494225335,Prod-4,TiDE,Cumulative,Medium (Balanced)
0.9655183152123309,7.224250193943867,416088.42873818026,Prod-5,TiDE,Cumulative,Medium (Balanced)
0.9781244859474726,5.621333930864436,252013.46965992157,Prod-6,TiDE,Cumulative,Medium (Balanced)
0.9922303215701604,3.3290356619040806,151384.47023951128,Prod-7,TiDE,Cumulative,Medium (Balanced)
0.9806404599955458,5.386973227013449,235887.29792818107,Prod-8,TiDE,Cumulative,Medium (Balanced)
0.981388152430354,5.2382608816437,258815.01535861538,Prod-9,TiDE,Cumulative,Medium (Balanced)
0.995902517459445,2.463238938608319,152788.75680894617,Prod-10,TiDE,Cumulative,Medium (Balanced)
