R²,SMAPE,MAE,Well,Method,Category,Setting
0.7286114247106663,24.187591273919853,2227066.4279197915,wind,TiDE,Cumulative,Stable & Regularized
-148.89990624277542,144.07302010618298,14364875.150318325,solar,TiDE,Cumulative,Stable & Regularized
0.938839644613018,9.906540423046776,8991595.209553817,load,TiDE,Cumulative,Stable & Regularized
0.9794891476712282,2.643156089263215,585620.9327156332,15/9-F-14,TiDE,Cumulative,Stable & Regularized
0.037734403041140396,16.314069033859216,4547786.546617461,15/9-F-12,TiDE,Cumulative,Stable & Regularized
0.9798009898238387,3.5821490582771593,177589.37931206642,15/9-F-11,TiDE,Cumulative,Stable & Regularized
0.8277956520734319,5.69026171945049,43741.24568549425,15/9-F-15 D,TiDE,Cumulative,Stable & Regularized
0.99970145983256,0.6103878727584368,21722.525857624478,Prod-1,TiDE,Cumulative,Stable & Regularized
0.9979884317185586,1.8223051736563716,58793.33896713496,Prod-2,TiDE,Cumulative,Stable & Regularized
0.9986385578197168,1.3302420616673103,53896.43349504355,Prod-3,TiDE,Cumulative,Stable & Regularized
0.9951231447198472,2.711294974616697,144216.57537523558,Prod-4,TiDE,Cumulative,Stable & Regularized
0.98559958279865,4.560845109970243,267880.2927150732,Prod-5,TiDE,Cumulative,Stable & Regularized
0.9999744770407397,0.22092328306284642,7031.334738879299,Prod-6,TiDE,Cumulative,Stable & Regularized
0.9950945885320155,2.683150005844638,121096.7940838856,Prod-7,TiDE,Cumulative,Stable & Regularized
0.9783712681475173,5.7037228180969315,249305.88306162404,Prod-8,TiDE,Cumulative,Stable & Regularized
0.9774897728067738,5.778214830922583,284574.06916719454,Prod-9,TiDE,Cumulative,Stable & Regularized
0.985596358985114,4.650088336735503,285594.31391259894,Prod-10,TiDE,Cumulative,Stable & Regularized
