R²,SMAPE,MAE,Well,Method,Category,Setting
0.9567554563217209,11.866290270819215,875456.0540223314,wind,LinearRegression,Cumulative,Wide & Shallow
-4.550120702977489,72.0764743416621,2849877.696345634,solar,LinearRegression,Cumulative,Wide & Shallow
0.9619343948863146,6.9464549479608975,7003468.237513505,load,LinearRegression,Cumulative,Wide & Shallow
-29.261716296640884,61.99616522757242,24237276.758444782,15/9-F-14,LinearRegression,Cumulative,Wide & Shallow
-24.08285648442121,60.61344595350524,23372559.730331745,15/9-F-12,LinearRegression,Cumulative,Wide & Shallow
0.9580683255869928,5.507649645989892,280650.7064188162,15/9-F-11,LinearRegression,Cumulative,Wide & Shallow
0.5552655424547897,13.648377721377573,103161.84810146177,15/9-F-15 D,LinearRegression,Cumulative,Wide & Shallow
0.8653679481230676,9.353930118961907,426411.0617850742,Prod-1,LinearRegression,Cumulative,Wide & Shallow
0.9225590376564136,4.543920217957246,242971.2967692877,Prod-2,LinearRegression,Cumulative,Wide & Shallow
0.9992921768718637,0.7886837718421186,34292.65801212646,Prod-3,LinearRegression,Cumulative,Wide & Shallow
0.9179008689028506,6.9614244154965395,484633.35201462964,Prod-4,LinearRegression,Cumulative,Wide & Shallow
0.9931255920294638,3.0944129926054353,189593.56128705776,Prod-5,LinearRegression,Cumulative,Wide & Shallow
0.9678872737066161,4.678994018694923,261168.98159737504,Prod-6,LinearRegression,Cumulative,Wide & Shallow
0.8981133822788745,7.4185033849626745,449825.7498367904,Prod-7,LinearRegression,Cumulative,Wide & Shallow
0.962679696488,6.8862728285983055,324107.4495275263,Prod-8,LinearRegression,Cumulative,Wide & Shallow
0.9578561030852906,7.117297577216688,380885.4593705098,Prod-9,LinearRegression,Cumulative,Wide & Shallow
0.9647313896856428,6.112501942245467,423857.85865034704,Prod-10,LinearRegression,Cumulative,Wide & Shallow
