R²,SMAPE,MAE,Well,Method,Category,Setting
0.9977631040222898,2.5288901000079878,187310.1045564556,wind,NHiTS,Cumulative,Medium (Balanced)
-47.971030227314245,124.74209292942959,8465463.119900245,solar,NHiTS,Cumulative,Medium (Balanced)
0.998821344660557,1.2972030512494566,1234800.1314720905,load,NHiTS,Cumulative,Medium (Balanced)
0.6737169006832447,13.860438771293698,3006015.95711404,15/9-F-14,NHiTS,Cumulative,Medium (Balanced)
-0.23376734572174884,23.388334370175006,6569293.094478771,15/9-F-12,NHiTS,Cumulative,Medium (Balanced)
0.8817417038082112,10.356965906260053,542434.7464145136,15/9-F-11,NHiTS,Cumulative,Medium (Balanced)
0.9878218879411435,2.1016919299422017,15066.4851572124,15/9-F-15 D,NHiTS,Cumulative,Medium (Balanced)
0.997401091256423,1.993093818210164,69320.01692566735,Prod-1,NHiTS,Cumulative,Medium (Balanced)
0.9938601520944262,3.3314500973144185,113518.77671976357,Prod-2,NHiTS,Cumulative,Medium (Balanced)
0.9914204495214518,3.803903413078854,141717.87083900106,Prod-3,NHiTS,Cumulative,Medium (Balanced)
0.9645625729539574,7.838272093635861,398320.3493031927,Prod-4,NHiTS,Cumulative,Medium (Balanced)
0.9694531663276341,7.47156999368975,408109.4244988724,Prod-5,NHiTS,Cumulative,Medium (Balanced)
0.9994725682564501,0.8808227674779462,39404.08828840705,Prod-6,NHiTS,Cumulative,Medium (Balanced)
0.9902059352735547,3.993846921364197,176556.07627167038,Prod-7,NHiTS,Cumulative,Medium (Balanced)
0.9432576311099128,10.37073408907186,420036.2640001402,Prod-8,NHiTS,Cumulative,Medium (Balanced)
0.9532977592086044,9.27401936326738,426278.9563309952,Prod-9,NHiTS,Cumulative,Medium (Balanced)
0.9759684509703438,6.642588889134844,383756.19700853596,Prod-10,NHiTS,Cumulative,Medium (Balanced)
