R²,SMAPE,MAE,Well,Method,Category,Setting
0.984270166327459,5.003115258659808,511273.3298854762,wind,NHiTS,Cumulative,Small & Fast
-37.54432167658133,119.0249600847941,7505793.766680453,solar,NHiTS,Cumulative,Small & Fast
0.983371175902085,5.50146146516071,4891287.135233933,load,NHiTS,Cumulative,Small & Fast
0.6870579703134079,13.625094070003389,2946205.2597337225,15/9-F-14,NHiTS,Cumulative,Small & Fast
-0.15472644413775005,22.660920380981494,6347661.547471825,15/9-F-12,NHiTS,Cumulative,Small & Fast
0.9780102134989112,4.537841553514481,222211.6758713803,15/9-F-11,NHiTS,Cumulative,Small & Fast
0.869554621631173,7.652626089682944,52591.45334429395,15/9-F-15 D,NHiTS,Cumulative,Small & Fast
0.9983674411458452,1.5579063423678479,54628.05872453274,Prod-1,NHiTS,Cumulative,Small & Fast
0.9967709584333425,1.7082954959452432,71428.26148310874,Prod-2,NHiTS,Cumulative,Small & Fast
0.9963425603735113,2.46027796624492,92413.91779991187,Prod-3,NHiTS,Cumulative,Small & Fast
0.9931108143588909,3.4214157843854767,176663.1849712121,Prod-4,NHiTS,Cumulative,Small & Fast
0.9674303454627117,7.734424617164148,421558.90114791604,Prod-5,NHiTS,Cumulative,Small & Fast
0.9966279814573763,2.2983249338688974,102274.72693177055,Prod-6,NHiTS,Cumulative,Small & Fast
0.9841081399026482,5.078092530047258,224192.04779689515,Prod-7,NHiTS,Cumulative,Small & Fast
0.9494107454384145,9.751802359015935,396480.8123574443,Prod-8,NHiTS,Cumulative,Small & Fast
0.9330388172358957,11.233769192519947,510590.1652476531,Prod-9,NHiTS,Cumulative,Small & Fast
0.9957891625255866,2.721083200732405,160787.04773781338,Prod-10,NHiTS,Cumulative,Small & Fast
