R²,SMAPE,MAE,Well,Method,Category,Setting
0.8356163866041363,20.784380469532806,1801662.4468931928,wind,NLinear,Cumulative,Medium (Balanced)
-1.4811469163462836,54.80517846419134,1905028.823942394,solar,NLinear,Cumulative,Medium (Balanced)
0.9965648459356555,2.406306437940529,2202797.388953663,load,NLinear,Cumulative,Medium (Balanced)
0.7478441685731458,11.872927436421161,2602518.7753461837,15/9-F-14,NLinear,Cumulative,Medium (Balanced)
0.05143022446300405,20.46470198760523,5721793.574854723,15/9-F-12,NLinear,Cumulative,Medium (Balanced)
0.8219875215358727,11.84893911064331,649516.2175235724,15/9-F-11,NLinear,Cumulative,Medium (Balanced)
0.7615899693284381,10.81873930572906,72403.20232965237,15/9-F-15 D,NLinear,Cumulative,Medium (Balanced)
0.9998832639442067,0.39431272281674973,14135.699099177953,Prod-1,NLinear,Cumulative,Medium (Balanced)
0.9996488072086414,0.5178029626454004,21291.1530589359,Prod-2,NLinear,Cumulative,Medium (Balanced)
0.999426655401674,0.9600112376397869,36430.83025704543,Prod-3,NLinear,Cumulative,Medium (Balanced)
0.9810837399589791,5.684563504267559,291513.1811305486,Prod-4,NLinear,Cumulative,Medium (Balanced)
0.9521114214771682,9.482397243501246,511570.42232875735,Prod-5,NLinear,Cumulative,Medium (Balanced)
0.996356558908791,2.4523054298526588,107336.7286471231,Prod-6,NLinear,Cumulative,Medium (Balanced)
0.9980643490067959,1.8128896191098822,79536.81651564526,Prod-7,NLinear,Cumulative,Medium (Balanced)
0.9616251484525964,8.433597975034864,345320.74435925967,Prod-8,NLinear,Cumulative,Medium (Balanced)
0.9703211328070169,7.320019493027961,339909.44059401564,Prod-9,NLinear,Cumulative,Medium (Balanced)
0.9889981858919689,4.432928973898101,259558.9497088361,Prod-10,NLinear,Cumulative,Medium (Balanced)
