R²,SMAPE,MAE,Well,Method,Category,Setting
0.9878768960525418,5.418675304134861,490572.3126413732,wind,TiDE+RIN,Cumulative,Medium (Balanced)
-37.36939405992947,118.89457139050255,7484927.335053752,solar,TiDE+RIN,Cumulative,Medium (Balanced)
0.9702368514877598,6.862444706597255,6339050.927681836,load,TiDE+RIN,Cumulative,Medium (Balanced)
0.5819845639185632,15.50969342867602,3400358.884269676,15/9-F-14,TiDE+RIN,Cumulative,Medium (Balanced)
0.14069132788266991,19.768760026582314,5463836.939767351,15/9-F-12,TiDE+RIN,Cumulative,Medium (Balanced)
0.9613700150513651,6.241432929468259,306666.27670831996,15/9-F-11,TiDE+RIN,Cumulative,Medium (Balanced)
0.9720534471286431,2.9099493500351334,21493.60931795441,15/9-F-15 D,TiDE+RIN,Cumulative,Medium (Balanced)
0.9999750345696721,0.20256686392067444,6454.354808838249,Prod-1,TiDE+RIN,Cumulative,Medium (Balanced)
0.9996305329730493,0.5184155333220619,21594.780780042383,Prod-2,TiDE+RIN,Cumulative,Medium (Balanced)
0.9995463795720768,0.8527595395443021,32390.257004616484,Prod-3,TiDE+RIN,Cumulative,Medium (Balanced)
0.9842538884512555,5.086779883184354,264036.385138774,Prod-4,TiDE+RIN,Cumulative,Medium (Balanced)
0.9579377118319234,8.844081899966207,479135.57657046197,Prod-5,TiDE+RIN,Cumulative,Medium (Balanced)
0.9969729918047863,2.1752278072446853,96801.01097919945,Prod-6,TiDE+RIN,Cumulative,Medium (Balanced)
0.994971631771706,2.7961450997659907,125606.62547582111,Prod-7,TiDE+RIN,Cumulative,Medium (Balanced)
0.9716440030389693,7.162854584143583,296307.91815325234,Prod-8,TiDE+RIN,Cumulative,Medium (Balanced)
0.9773011550555406,6.306001631047364,296353.297513386,Prod-9,TiDE+RIN,Cumulative,Medium (Balanced)
0.9866188534606,4.850979268807061,285102.05934083014,Prod-10,TiDE+RIN,Cumulative,Medium (Balanced)
