R²,SMAPE,MAE,Well,Method,Category,Setting
0.9892150022159604,5.223197477476958,465587.52243125957,wind,TiDE+RIN,Cumulative,Small & Fast
-6.167491277887431,77.97600255259856,3237971.337744854,solar,TiDE+RIN,Cumulative,Small & Fast
0.978273202215829,5.827704027539357,5413891.639063546,load,TiDE+RIN,Cumulative,Small & Fast
0.6178183459851545,14.884225860246042,3250946.035101973,15/9-F-14,TiDE+RIN,Cumulative,Small & Fast
0.14460765065210035,19.74698911810092,5453737.632208737,15/9-F-12,TiDE+RIN,Cumulative,Small & Fast
0.9618127853023755,6.152394900665068,303646.4913234479,15/9-F-11,TiDE+RIN,Cumulative,Small & Fast
0.988757418356661,2.116498970080884,14984.745813772022,15/9-F-15 D,TiDE+RIN,Cumulative,Small & Fast
0.999951495811498,0.2706255560623407,9172.616151641816,Prod-1,TiDE+RIN,Cumulative,Small & Fast
0.9996294918734401,0.5241232291793104,21742.870159981867,Prod-2,TiDE+RIN,Cumulative,Small & Fast
0.9996527548114391,0.7430905432701246,28284.960590021343,Prod-3,TiDE+RIN,Cumulative,Small & Fast
0.986617974485104,4.687615491180639,243551.60037776452,Prod-4,TiDE+RIN,Cumulative,Small & Fast
0.9508819463511362,9.60384492992526,517951.8239829816,Prod-5,TiDE+RIN,Cumulative,Small & Fast
0.9977601094966376,1.8630244948389045,83249.3333816382,Prod-6,TiDE+RIN,Cumulative,Small & Fast
0.996050604527728,2.482145431769279,111480.15435776653,Prod-7,TiDE+RIN,Cumulative,Small & Fast
0.9735073202688186,6.904823546691303,286305.4246663204,Prod-8,TiDE+RIN,Cumulative,Small & Fast
0.9799695323652093,5.924897358382542,278575.05757841654,Prod-9,TiDE+RIN,Cumulative,Small & Fast
0.9902370579787934,4.116537154328075,243370.4111545244,Prod-10,TiDE+RIN,Cumulative,Small & Fast
