rank,feature,mean_|SHAP|,relative_%,direction
1,Prod_Start_Time_t0,0.48772423373561147,16.817688529736095,↓
2,BORE_OIL_VOL_LAG_1_t0,0.47015580222958103,16.211894540863714,↓
3,BORE_OIL_VOL_LAG_7_t0,0.382628185984989,13.193770597180865,↓
4,BORE_OIL_VOL_LAG_2_t0,0.30044983578651835,10.360099842418563,↑
5,BORE_GAS_VOL_t0,0.22934939556257128,7.908417159245477,↑
6,ON_STREAM_HRS_t0,0.22746941058883546,7.843591588683379,↑
7,BORE_OIL_VOL_LAG_3_t0,0.213144329211597,7.349634675941339,↓
8,BORE_OIL_VOL_LAG_4_t0,0.17225421990588075,5.939663477702338,↓
9,BORE_OIL_VOL_MEAN_LAG_t0,0.14766796595520443,5.09188120145889,↑
10,BORE_OIL_VOL_LAG_5_t0,0.13645797697891895,4.705338786740286,↓
11,BORE_OIL_VOL_LAG_6_t0,0.13276563527162782,4.578019600029055,↓
