Dataset,Well,MAE,SMAPE
VOLVE,15_9-F-11,17726.9053,2.8679
VOLVE,15_9-F-12,16386.5034,0.7292
VOLVE,15_9-F-14,12812.5637,0.7035
VOLVE,15_9-F-15 D,2119.3548,2.1713
UNISIM,Prod-1,5023.2735,0.2776
UNISIM,Prod-10,4222.1757,0.1225
UNISIM,Prod-2,4302.1665,0.2053
UNISIM,Prod-3,6788.1031,0.3791
UNISIM,Prod-4,4534.5577,0.171
UNISIM,Prod-5,3909.5242,0.1162
UNISIM,Prod-6,3792.7705,0.1532
UNISIM,Prod-7,3284.52,0.1531
UNISIM,Prod-8,3058.8728,0.1727
UNISIM,Prod-9,4804.3128,0.2181
OPSD,load,123718.0812,0.2256
OPSD,solar,24928.7346,2.5666
OPSD,wind,52207.5184,0.9659
