Dataset,Well,MAE,SMAPE
VOLVE,15_9-F-11,19031.2482,3.0814
VOLVE,15_9-F-12,20632.0663,0.8381
VOLVE,15_9-F-14,16014.3608,0.8239
VOLVE,15_9-F-15 D,2389.2612,2.4277
UNISIM,Prod-1,9903.425,0.4695
UNISIM,Prod-10,8811.2377,0.2448
UNISIM,Prod-2,9749.2749,0.4043
UNISIM,Prod-3,12734.1096,0.6096
UNISIM,Prod-4,10818.6854,0.3461
UNISIM,Prod-5,8710.6683,0.2659
UNISIM,Prod-6,7976.3918,0.2896
UNISIM,Prod-7,7673.3201,0.3096
UNISIM,Prod-8,6798.4694,0.3249
UNISIM,Prod-9,9532.1549,0.3521
OPSD,load,165582.663,0.3168
OPSD,solar,25281.8018,2.6086
OPSD,wind,53875.9165,0.999
