Dataset,Well,MAE,SMAPE
VOLVE,15_9-F-11,15769.2033,2.429
VOLVE,15_9-F-12,17609.5263,0.7604
VOLVE,15_9-F-14,12765.2287,0.6849
VOLVE,15_9-F-15 D,2060.334,2.052
UNISIM,Prod-1,4728.5529,0.2792
UNISIM,Prod-10,5883.6269,0.2109
UNISIM,Prod-2,3129.3472,0.1744
UNISIM,Prod-3,4783.4745,0.3003
UNISIM,Prod-4,5272.4524,0.1819
UNISIM,Prod-5,4711.3154,0.1558
UNISIM,Prod-6,4133.5406,0.183
UNISIM,Prod-7,3728.1456,0.1813
UNISIM,Prod-8,4338.3624,0.1914
UNISIM,Prod-9,4255.383,0.184
OPSD,load,123571.6712,0.2315
OPSD,solar,23738.1062,2.359
OPSD,wind,51870.8945,0.9448
