TIME	WOPR
1480.017	-99999
1481	0
1481.021	1098
1481.682	1098
1481.687	0
1483.453	0
1483.466	1114
1483.975	1114
1483.978	0
1484.724	0
1484.755	1122
1485.005	1122
1485.007	0
1485.366	0
1485.385	1135
1485.57	1135
1485.594	1165
1486.374	1165
1486.378	0
1487.38	0
1833	0
1833.125	0
1833.186	4676
1835.154	4676
1835.218	0
1835.56	0
1835.578	4620
1849.047	4620
1849.066	4620
1849.655	4620
1849.667	4620
1850.045	4620
1850.083	4620
1850.447	4620
1850.45	4620
1850.642	4620
1850.645	4620
1850.876	4620
1850.896	4620
1851.994	4620
1852.011	4620
1852.078	4620
1852.083	4620
1852.977	4620
1853.008	4620
1856.454	4620
1856.464	4620
1856.542	4620
1856.563	4620
1856.945	4620
1856.955	4620
1857.659	4620
1858.658	4620
1858.757	0
1858.892	0
1858.898	4500
1867.584	4500
1867.709	0
1870.585	0
1870.676	4453
1874.825	4453
1874.92	0
1879.832	0
1879.925	4582
1890.364	4582
1890.366	0
1890.819	0
1890.821	4611
1892.241	4611
1892.305	0
1893.606	0
1893.609	4690
1916.136	4690
1916.212	0
1918.703	0
1918.71	4703
1938.73	4703
1938.833	0
1939.01	0
1939.055	4705
2019.926	4705
2020	0
2021.083	0
2290	-99999
2290.153	-99999
2290.188	-99999
2290.194	-99999
2290.243	-99999
2290.245	-99999
2290.307	-99999
2290.308	-99999
2290.359	-99999
2290.36	-99999
2290.453	-99999
2290.454	-99999
2290.524	-99999
2290.526	-99999
2290.545	-99999
2290.547	-99999
2290.567	-99999
2290.568	-99999
2291.015	-99999
2291.016	-99999
2291.078	-99999
2291.079	-99999
2291.097	-99999
2291.099	-99999
2291.192	-99999
2291.193	-99999
2291.493	-99999
2291.495	-99999
2291.515	-99999
2291.516	-99999
2292.141	-99999
2292.168	-99999
2293.751	-99999
2293.799	-99999
2293.817	-99999
2293.818	-99999
2294.059	-99999
2294.061	-99999
2321	-99999
2321.185	-99999
2321.186	-99999
2321.284	-99999
2321.286	-99999
2321.568	-99999
2321.6	-99999
2321.698	-99999
2321.714	-99999
2321.794	-99999
2321.796	-99999
2321.846	-99999
2321.848	-99999
2321.954	-99999
2321.955	-99999
2322.003	-99999
2322.005	-99999
2322.047	-99999
2322.057	-99999
2322.766	-99999
2322.781	-99999
2322.823	-99999
2322.84	-99999
2322.943	-99999
2322.944	-99999
2323.099	-99999
2323.1	-99999
2323.162	-99999
2323.163	-99999
2323.211	-99999
2323.213	-99999
2323.37	-99999
2323.371	-99999
2323.391	-99999
2323.392	-99999
2323.443	-99999
2323.444	-99999
2323.474	-99999
2323.475	-99999
2323.495	-99999
2323.496	-99999
2323.578	-99999
2323.579	-99999
2324.419	-99999
2324.421	-99999
2325.907	-99999
2326.035	-99999
2326.091	-99999
2326.092	-99999
2326.112	-99999
2326.113	-99999
2326.374	-99999
2326.375	-99999
2326.836	-99999
2683.243	-99999
2683.304	-99999
2683.305	-99999
2683.306	-99999
2683.307	-99999
2683.309	-99999
2683.31	-99999
2683.312	-99999
2683.313	-99999
2683.314	-99999
2683.315	-99999
2683.317	-99999
2683.318	-99999
2683.32	-99999
2683.321	-99999
2683.323	-99999
2683.324	-99999
2683.325	-99999
2683.327	-99999
2683.329	-99999
2683.435	-99999
2683.443	-99999
2683.921	-99999
2683.953	-99999
2684.391	-99999
2684.401	-99999
2684.411	-99999
2684.412	-99999
2684.416	-99999
2684.418	-99999
2684.423	-99999
2684.425	-99999
2684.969	-99999
2684.98	-99999
2685.196	-99999
2685.2	-99999
2685.204	-99999
2685.205	-99999
2685.207	-99999
2685.208	-99999
2685.21	-99999
2685.211	-99999
2685.214	-99999
2685.215	-99999
2685.217	-99999
2685.218	-99999
2685.22	-99999
2685.222	-99999
2685.224	-99999
2685.225	-99999
2685.228	-99999
2685.229	-99999
2685.231	-99999
2685.232	-99999
2685.234	-99999
2685.236	-99999
2685.237	-99999
2685.239	-99999
2685.24	-99999
2685.243	-99999
2685.244	-99999
2685.246	-99999
2685.248	-99999
2685.25	-99999
2685.252	-99999
2685.253	-99999
2686.663	-99999
3062	-99999
3091	-99999
3805	-99999
3806	-99999
3807	-99999
3808	-99999
3809	-99999
3810	-99999
3811	-99999
3812	-99999
3813	-99999
3814	-99999
3815	-99999
3816	-99999
3817	-99999
3818	-99999
3819	-99999
3820	-99999
3821	-99999
3822	-99999
3823	-99999
3824	-99999
3825	-99999
3826	-99999
3827	-99999
3828	-99999
3829	-99999
3830	-99999
3831	-99999
3832	-99999
3833	-99999
3834	-99999
3835	-99999
3836	-99999
3837	-99999
3838	-99999
3839	-99999
3840	-99999
3841	-99999
3842	-99999
3843	-99999
3844	-99999
3845	-99999
3846	-99999
3847	-99999
3848	-99999
3849	-99999
3850	-99999
3851	-99999
3852	-99999
3853	-99999
3854	-99999
3855	-99999
3856	-99999
3857	-99999
3858	-99999
3859	-99999
3860	-99999
3861	-99999
3862	-99999
3863	-99999
3864	-99999
3865	-99999
3866	-99999
3867	-99999
3868	-99999
3869	-99999
3870	-99999
3871	-99999
3872	-99999
3873	-99999
3874	-99999
3875	-99999
3876	-99999
3877	-99999
3878	-99999
3879	-99999
3880	-99999
3881	-99999
3882	-99999
3883	-99999
3884	-99999
3885	-99999
3886	-99999
3887	-99999
3888	-99999
3889	-99999
3890	-99999
3891	-99999
3892	-99999
3893	-99999
3894	-99999
3895	-99999
3896	-99999
3897	-99999
3898	-99999
3899	-99999
3900	-99999
3901	-99999
3902	-99999
3903	-99999
3904	-99999
3905	-99999
3906	-99999
3907	-99999
3908	-99999
3909	-99999
3910	-99999
3911	-99999
3912	-99999
3913	-99999
3914	-99999
3915	-99999
3916	-99999
3917	-99999
3918	-99999
3919	-99999
3920	-99999
3921	-99999
