experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group,campaign,dataset,architecture,val_smape_cum_norm,val_smape_agg_norm,weighted_score
UNISIM_IV_P11_Seq2Trend_trial_50,P11,0eede9f937f2a7930cecf9a75df9db11,50,5.0125620488373785,0.0982320490214698,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.05371900826446281,0.1115702479338843,0.3305785123966942
UNISIM_IV_P11_Seq2Trend_trial_75,P11,05176898ff0ec8cacbe07c28107bcd53,75,4.96007218455385,0.2006352953147586,Seq2Trend,Normal,False,0.01,300,300,200,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.12396694214876033,0.05867768595041322,0.3652892561983471
UNISIM_IV_P11_Seq2Trend_trial_33,P11,537bc9de12c277cd68e9d9ad103c5fa7,33,5.277380246090633,0.7948905216784186,Seq2Trend,Normal,False,0.25,300,300,100,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.5582644628099174,0.2409090909090909,1.5983471074380167
UNISIM_IV_P11_Seq2Trend_trial_73,P11,4f15bdbbbef0b3a4350176ffa881c459,73,5.004708102274335,0.5527103797047083,Seq2Trend,Normal,False,0.25,300,300,200,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.40950413223140497,0.10785123966942149,1.034710743801653
UNISIM_IV_P11_Seq2Trend_trial_35,P11,769066ce3813dd7f33e08913a6d9db5a,35,5.11720143688061,0.6222709901870811,Seq2Trend,Normal,False,0.99,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.42644628099173554,0.1305785123966942,1.1140495867768596
UNISIM_IV_P11_Seq2Trend_trial_30,P11,448181998b4587032208ac1a7d72cdb1,30,5.05538322583289,0.1003708314495261,Seq2Trend,Normal,False,0.5,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.05537190082644628,0.12396694214876033,0.3586776859504132
UNISIM_IV_P11_Seq2Trend_trial_10,P11,509766de1e767d18fa1d9444c6f04851,10,4.924399175992859,0.449880869462907,Seq2Trend,Normal,False,0.5,300,300,200,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,4,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.34628099173553717,0.05289256198347107,0.7983471074380165
UNISIM_IV_P11_Seq2Trend_trial_39,P11,0f265b9a99df677d3df75612e05e1836,39,8.104981179456178,1.42670820876161,Seq2Trend,Normal,False,0.99,300,300,200,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.7413223140495868,0.7603305785123967,3.003305785123967
UNISIM_IV_P11_Seq2Trend_trial_91,P11,2453197db4658fbfd808aff8975ffd97,91,5.361773975632212,0.3532775393442825,Seq2Trend,Normal,False,0.5,300,300,200,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,8,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.2818181818181818,0.25206611570247933,1.0677685950413223
UNISIM_IV_P11_Seq2Trend_trial_56,P11,143b8e1ccd8264de4fd88bb9923e9826,56,5.277380246090633,0.7948905216784186,Seq2Trend,Normal,False,0.25,300,300,100,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,6,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.5582644628099174,0.2409090909090909,1.5983471074380167
UNISIM_IV_P11_Seq2Trend_trial_9,P11,e0efa39e909fb2332001bfa8253354ef,9,12.798404773322156,3.148668033786844,Seq2Trend,Normal,False,0.99,300,300,20,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,3,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8838842975206611,0.8648760330578512,3.497520661157025
UNISIM_IV_P11_Seq2Trend_trial_13,P11,71fea37d8bad2f181c66271eafddb5fa,13,10.84938319732166,2.517001632682493,Seq2Trend,Normal,False,0.5,300,300,50,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,3,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8090909090909091,0.8008264462809918,3.2198347107438017
UNISIM_IV_P11_Seq2Trend_trial_89,P11,654f593ae26bf56f6bd621577a1951e9,89,4.931308273622855,0.1224713566571748,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,2,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.06694214876033058,0.05371900826446281,0.2413223140495868
UNISIM_IV_P11_Seq2Trend_trial_3,P11,220ad4910e867f1fe0ddeeb6b3287346,3,5.053081845718297,0.1103969781452826,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,3,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.05785123966942149,0.12148760330578512,0.3586776859504132
UNISIM_IV_P11_Seq2Trend_trial_20,P11,a29219da8efaf1538c187c1e073488f6,20,20.485737880632144,5.6213067972569855,Seq2Trend,Normal,False,0.5,300,300,100,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.9801652892561984,0.9264462809917355,3.813223140495868
UNISIM_IV_P11_Seq2Trend_trial_99,P11,5dcfa62c9a5e94976855eaa8bcc09af9,99,14.919279615595604,4.036392740159027,Seq2Trend,Normal,False,0.99,300,300,200,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,6,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.9095041322314049,0.8880165289256199,3.5950413223140494
