experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group
UNISIM_IV_P12_Seq2Trend_trial_182,P12,4b2cc7a1a78fe37c85fa498e0c822274,182,4.866217671353909,0.11933607262146456,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_159,P12,c55e9044608c7cfd7f664798ae71598a,159,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_167,P12,45ccfd174a0663c12b641d3e7beb6d3a,167,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_154,P12,03c3e6eaa615637b66c5a40f4993ccaf,154,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_158,P12,a849356b37ac8ee4b5505c147f6c1cbc,158,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_198,P12,f4fa4d1f0a7c957f7398560550465cc9,198,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_164,P12,a8345ac0b25db07a6e14d5eb4d5427f2,164,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_190,P12,3a5c61c5806e0e491479113240fd7417,190,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_178,P12,0c5155f0073de720a4b8d3aa6f63932d,178,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_174,P12,0c05e2796462d4745bb58ab4e3f405f7,174,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
