experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group,campaign,dataset,architecture,val_smape_cum_norm,val_smape_agg_norm,weighted_score
UNISIM_IV_P11_Seq2Trend_trial_37,P11,4a6e36336c098ed540c2a44da67d0775,37,10.17544076165382,2.244301118190491,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,6,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8061111111111111,0.8038888888888889,3.2199999999999998
UNISIM_IV_P11_Seq2Trend_trial_95,P11,d1516239f3160cfd307a2eda56e42d5a,95,12.798404773322156,3.148668033786844,Seq2Trend,Normal,False,0.99,300,300,20,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,3,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.85,0.8333333333333334,3.3666666666666667
UNISIM_IV_P11_Seq2Trend_trial_49,P11,b7799097c8c7313da47f2be06df135e7,49,5.15217191699836,0.150357266695704,Seq2Trend,Normal,False,0.25,300,300,50,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,8,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.13027777777777777,0.15083333333333335,0.5622222222222222
UNISIM_IV_P11_Seq2Trend_trial_56,P11,f3dcf6eafc725ba9fa5217c1a2b33f57,56,9.476626570536869,1.92245143904285,Seq2Trend,Normal,False,0.25,300,300,100,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.7880555555555555,0.7936111111111112,3.163333333333333
UNISIM_IV_P11_Seq2Trend_trial_12,P11,9b21c05c631cd117fde7d0f3dabf572d,12,13.771052270507782,3.446178440148284,Seq2Trend,Normal,False,0.99,300,300,100,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,6,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8627777777777778,0.8438888888888889,3.413333333333333
UNISIM_IV_P11_Seq2Trend_trial_18,P11,af72fc55114c817c4611e3f2975e878d,18,4.901337290945072,0.29508113612611,Seq2Trend,Normal,False,0.25,300,300,20,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,6,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.19277777777777777,0.06833333333333333,0.5222222222222221
UNISIM_IV_P11_Seq2Trend_trial_3,P11,bdb47a3ab61c65818dd2a9c20ed03633,3,13.872391775285426,3.488708047554593,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8652777777777778,0.8469444444444445,3.4244444444444446
UNISIM_IV_P11_Seq2Trend_trial_102,P11,bdee59ccd691b3aa1397f134cbc16858,102,4.988575196521574,0.0814386601613361,Seq2Trend,Normal,False,0.01,300,300,100,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,2,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.059444444444444446,0.07833333333333334,0.27555555555555555
UNISIM_IV_P11_Seq2Trend_trial_66,P11,4838d5e6c6de554aa456ae853a0189b3,66,5.294499901120724,0.7499632518127659,Seq2Trend,Normal,False,0.5,300,300,50,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,8,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.5638888888888889,0.255,1.6377777777777778
UNISIM_IV_P11_Seq2Trend_trial_28,P11,a600e1fe1e643412ab1f60953d263508,28,5.068381282646765,0.1299929201331185,Seq2Trend,Normal,False,0.25,300,300,50,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.06944444444444445,0.14277777777777778,0.42444444444444446
